,q,U_mean (center_i),U_std (center_i),U_mean (center_j),U_std (center_j)
0,0.765,0.04253556598104827,5.914912203518659e-05,0.04409080448360544,3.6730619783759175e-05
1,0.775,0.04245322035108642,3.547118643767818e-05,0.04407793349200557,4.43000396373816e-05
2,0.785,0.04246260229598899,3.968175799279895e-05,0.044055232555284006,6.239981144539746e-05
3,0.795,0.04251219140034455,4.7487007579566086e-05,0.04407096029791741,4.3775167234302436e-05
4,0.805,0.04252143388919564,6.704508781094202e-05,0.044037032615709855,6.422739416203368e-05
5,0.8150000000000001,0.042456085147897955,6.736601436021e-05,0.04403826756190252,5.65157478315989e-05
6,0.8250000000000001,0.04248834518316571,7.697092565432949e-05,0.04407354513748314,5.681312334092446e-05
7,0.8350000000000001,0.04255797804537286,6.44930346361764e-05,0.0441023593581607,5.1316647207989555e-05
8,0.845,0.04261966677114016,7.501466669405647e-05,0.0441228042231634,5.65938506540473e-05
9,0.855,0.04269066208803726,5.9525476350862994e-05,0.044173424415719004,5.5180726462577374e-05
10,0.865,0.04278127737780108,5.7014496721302734e-05,0.04424982559044496,6.617358062794091e-05
11,0.875,0.042885162245775175,6.445907599700172e-05,0.044334807890868674,7.057583667963186e-05
12,0.885,0.04291297692132135,7.550169956152617e-05,0.04443224168098218,7.373829013165426e-05
13,0.895,0.043001754259502575,6.606707756538101e-05,0.04444681140700059,6.218678545299166e-05
14,0.905,0.04305090407429268,7.727894897986965e-05,0.04447202338011955,7.321847704857305e-05
15,0.915,0.043144796677071884,6.60120945331439e-05,0.04450083137973781,8.670540536343793e-05
16,0.925,0.04322588632573124,7.747514948281501e-05,0.04462016209305047,7.80828985806609e-05
17,0.935,0.04327886576055318,8.979178036279093e-05,0.04468105393076829,9.029666383364074e-05
18,0.9450000000000001,0.043239996116395576,7.204506050871758e-05,0.04474427629896912,7.303739713673224e-05
19,0.9550000000000001,0.0432043848582886,7.37746977913003e-05,0.04454679221819415,0.0001069902736553707
20,0.965,0.04328490023056856,7.69602791655291e-05,0.044439399449016655,6.79035216380531e-05
21,0.975,0.043068279281580385,0.0001175954925533676,0.04395376432117177,0.00021868759706744943
22,0.985,0.04292966966201466,5.710401866103312e-05,0.04346420619623372,6.315081583725889e-05
23,0.995,0.042788321158831896,0.0,0.0433958595215496,0.0
