,q,U_mean (center),U_std (center),U_mean (solution),U_std (solution)
0,0.555,0.06859766337107738,0.0,0.07412535564213155,0.0
1,0.5650000000000001,0.06866992358991145,0.00016520635573118186,0.07423961260029364,0.00019289917317999108
2,0.5750000000000001,0.06874160278433016,0.0002365545903067175,0.07411971114075909,0.00021723350653572024
3,0.585,0.06861823997868861,0.000222066194657541,0.07421712181076043,0.00020928444071153485
4,0.595,0.06862095952856358,0.00022665761089433735,0.07404493448391175,0.00029693094278785526
5,0.605,0.0686192635798667,0.000248390331326514,0.07349848869114245,0.00024433959795876355
6,0.615,0.06851838016076453,0.0002172924244681619,0.0733006242096293,0.0002595172444403065
7,0.625,0.06860050241251173,0.0002265918874167883,0.07325690398509381,0.00022335202937667976
8,0.635,0.06848077222435832,0.00024974419760632506,0.07317589461218767,0.00022904552655625467
9,0.645,0.0684985187601936,0.00023430519936570166,0.07310578148758587,0.00020900707413141237
10,0.655,0.0685199226872521,0.00023309250811329052,0.07292364094947457,0.00020252251867382815
11,0.665,0.06837457818417768,0.0002541200771699905,0.07276000850270754,0.00026303120935401795
12,0.675,0.06834067352799024,0.00020789328831797012,0.0725729488990865,0.00023992198091578359
13,0.685,0.06836977962366743,0.00021955570596128264,0.07222980990203118,0.00028421201227280825
14,0.6950000000000001,0.0681293714257015,0.00025317219951766397,0.07083111906869674,0.0006529004215618035
15,0.7050000000000001,0.06812375137398995,0.0002656065967625015,0.07049384593894166,0.00036397171703148653
16,0.715,0.06819106257366127,0.0002364862847547511,0.0704538004603817,0.00024993470350035736
17,0.725,0.06822284842460213,0.00024712864335799285,0.07070585389298839,0.00026941444614873286
18,0.735,0.06819335553583356,0.00022555815693333815,0.07032484874023831,0.00025128564712076693
19,0.745,0.06819618478959648,0.00023132661783351394,0.0703672728449488,0.00022294985688794584
20,0.755,0.06823052974352499,0.0002360307106654181,0.07038973821631801,0.00022761803941574824
21,0.765,0.06819532166346667,0.00022715572546520445,0.07032398968945436,0.0002641889942503014
22,0.775,0.06819897885973993,0.00022153845982975028,0.0702107572442682,0.00024154853963041618
23,0.785,0.06824021410494512,0.0002443293082715847,0.06993376348839979,0.00032556590597158426
24,0.795,0.06841301565428577,0.00024484414327755717,0.06949496512557868,0.00026295047543787285
25,0.805,0.06845309243269615,0.00025504446996030695,0.06957374493433076,0.0002491277138702409
26,0.8150000000000001,0.0683191306679085,0.00022193116312657456,0.06974256158902713,0.0002457140931211065
27,0.8250000000000001,0.06843022041866821,0.0002446306798364024,0.06982073836504664,0.00024228124509324562
28,0.8350000000000001,0.06836160715823068,0.00023471897555894653,0.06988955711763703,0.00023574850939619022
29,0.845,0.0683228155856569,0.0002564574719535229,0.06985390666813691,0.00023506031498336083
30,0.855,0.06827810190894165,0.00023028648913076598,0.06959647165210278,0.0002509830864250132
31,0.865,0.06835014775003224,0.00023931777214727818,0.06964959136773838,0.0002415814408692481
32,0.875,0.06852523252996119,0.0002468387503870775,0.06979368419926926,0.0002389743431898261
33,0.885,0.06859005700593691,0.00024722656767766103,0.06996858616949345,0.0002607502119540577
34,0.895,0.06833099582652104,0.00023852262619529754,0.07023422967782976,0.00024363811129191857
35,0.905,0.0683098927171887,0.00022625480990077934,0.07036526952647923,0.00023046164184044988
36,0.915,0.0683404644161531,0.00024329560757347285,0.06995886897487275,0.0005187696231913038
37,0.925,0.06821665375108933,0.00022826795584203065,0.06903483315739939,0.0002638933020609917
38,0.935,0.06827188795386943,0.0002404702814387178,0.06908215865400438,0.0002686552513292399
39,0.9450000000000001,0.06846298402926447,0.00024351863761104344,0.06905529824253712,0.0002287081541180709
40,0.9550000000000001,0.06865374096380004,0.0002341729599793552,0.0688176544184748,0.00026560853193927444
41,0.965,0.06872917026795793,0.00024246536106516697,0.06855067228366193,0.00021894272807539315
42,0.975,0.06893516432319749,0.00022360325090844802,0.06837652628894401,0.0002499099742826882
43,0.985,0.0688985013655752,0.00028829168929093524,0.06823122173996388,0.00022107790964113599
44,0.995,0.06810246455884424,0.0003216549116031959,0.06812951301404949,0.00024077819475674099
