,q
U (c_0-s_0),0.6850577658419064
U (c_0-s_1),0.6556488662733744
U (c_0-s_2),0.574255237829366
U (c_0-s_3),0.6873769455410148
U (c_0-s_4),0.659843487830789
U (c_1-s_0),0.6463506607816313
U (c_1-s_1),0.6638481077902295
U (c_1-s_2),0.5766261425049617
U (c_1-s_3),0.6631053321153421
U (c_1-s_4),0.6351616297496372
U (c_2-s_0),0.6253882644377401
U (c_2-s_1),0.6509411310608079
U (c_2-s_2),0.5771494379518289
U (c_2-s_3),0.6437839327678055
U (c_2-s_4),0.629780214450434
U (c_0-s*_0),0.7888002823720838
U (c_0-s*_1),0.7172913554910326
U (c_0-s*_2),0.6984918366575761
U (c_0-s*_3),0.855096530293768
U (c_0-s*_4),0.8151618061228406
U (c_1-s*_0),0.8074449750925681
U (c_1-s*_1),0.7278140855256222
U (c_1-s*_2),0.6915519254862873
U (c_1-s*_3),0.8662480960970148
U (c_1-s*_4),0.8608415837821313
U (c_2-s*_0),0.780749069640005
U (c_2-s*_1),0.715426146814687
U (c_2-s*_2),0.6840611735462335
U (c_2-s*_3),0.8748418451015637
U (c_2-s*_4),0.8399089677040159
U (c_0-c_1),0.8709929204105664
U (c_0-c_2),0.8922842466235236
U (c_1-c_2),0.950707252764211
